dateID,locationID,contentID,NumberNegativeNews,NumberPositiveNews,totalQuantity
404,24405,820,1,0,1
404,25241,821,1,0,1
405,8454,822,1,0,1
405,27848,823,0,1,1
405,11673,824,1,0,1
406,15092,825,0,1,1
406,21828,826,1,0,1
407,22960,827,0,1,1
407,23341,828,1,0,1
407,19704,829,1,0,1
408,9446,830,1,0,1
408,1265,831,1,0,1
408,14535,832,1,0,1
409,18702,833,1,0,1
410,23491,834,1,0,1
410,3983,835,1,0,1
411,17465,836,0,1,1
411,7390,837,1,0,1
411,11978,838,1,0,1
412,15766,839,0,1,1
412,16692,840,1,0,1
412,19861,841,0,1,1
412,21008,842,1,0,1
412,10579,843,1,0,1
413,26276,844,1,0,1
413,15796,845,0,1,1
413,24703,846,1,0,1
413,21274,847,1,0,1
414,11015,848,1,0,1
415,8280,849,0,1,1
415,15470,850,1,0,1
415,20272,851,0,1,1
415,8996,852,1,0,1
416,11395,853,1,0,1
416,7511,854,1,0,1
416,12228,855,1,0,1
416,2883,856,0,1,1
416,15461,857,1,0,1
416,22784,858,0,1,1
417,4979,859,1,0,1
417,6980,860,1,0,1
417,20469,861,0,1,1
417,6234,862,0,1,1
417,14090,863,0,1,1
417,23530,864,0,1,1
418,2948,865,1,0,1
418,19555,866,1,0,1
419,20720,867,1,0,1
419,3521,868,1,0,1
420,18129,869,1,0,1
420,10459,870,1,0,1
420,17608,871,0,1,1
420,13136,872,1,0,1
421,21764,873,1,0,1
421,4059,874,1,0,1
421,27044,875,0,1,1
421,7775,876,1,0,1
421,17823,877,1,0,1
422,25240,878,1,0,1
422,9247,879,0,1,1
422,6007,880,1,0,1
422,18378,881,0,1,1
422,22863,882,1,0,1
423,24189,883,1,0,1
423,18549,884,0,1,1
423,9048,885,0,1,1
423,21349,886,0,1,1
423,21600,887,1,0,1
424,12184,888,1,0,1
424,921,889,0,1,1
424,6457,890,1,0,1
424,7989,891,1,0,1
424,4855,892,1,0,1
424,4280,893,1,0,1
425,11384,894,1,0,1
425,20327,895,1,0,1
425,27688,896,1,0,1
426,18048,897,0,1,1
426,4097,898,1,0,1
426,22134,899,1,0,1
427,7417,900,1,0,1
427,22986,901,1,0,1
427,27659,902,1,0,1
427,19250,903,1,0,1
427,8799,904,1,0,1
428,22622,905,1,0,1
428,12081,906,1,0,1
428,57,907,0,1,1
428,8685,908,1,0,1
428,23707,909,1,0,1
429,8724,910,1,0,1
429,5738,911,1,0,1
429,11779,912,0,1,1
429,5048,913,0,1,1
429,26853,914,1,0,1
429,12992,915,1,0,1
430,22399,916,1,0,1
430,9089,917,1,0,1
430,2319,918,1,0,1
431,25406,919,1,0,1
431,2712,920,1,0,1
432,19701,921,1,0,1
432,1356,922,1,0,1
432,21925,923,1,0,1
432,6814,924,0,1,1
433,11195,925,1,0,1
433,7337,926,1,0,1
433,4451,927,1,0,1
433,7623,928,1,0,1
434,16915,929,1,0,1
435,11700,930,1,0,1
435,1496,931,0,1,1
435,20306,932,1,0,1
435,17933,933,0,1,1
435,19494,934,0,1,1
436,16249,935,1,0,1
436,7503,936,1,0,1
436,7487,937,0,1,1
436,7374,938,1,0,1
437,15793,939,1,0,1
437,12458,940,1,0,1
437,9633,941,1,0,1
437,6615,942,0,1,1
437,25591,943,1,0,1
437,15729,944,1,0,1
438,12819,945,0,1,1
438,2737,946,0,1,1
438,27770,947,1,0,1
439,1992,948,0,1,1
439,7905,949,1,0,1
439,1144,950,1,0,1
439,9766,951,1,0,1
440,28336,952,0,1,1
440,8136,953,0,1,1
440,19207,954,1,0,1
440,9392,955,1,0,1
440,21805,956,0,1,1
441,7769,957,1,0,1
441,5228,958,1,0,1
441,4212,959,1,0,1
441,4836,960,1,0,1
442,18839,961,1,0,1
442,3296,962,0,1,1
443,27914,963,1,0,1
443,216,964,1,0,1
444,18911,965,1,0,1
444,21636,966,1,0,1
445,5666,967,0,1,1
445,27135,968,0,1,1
445,25743,969,1,0,1
446,23340,970,1,0,1
447,6458,971,0,1,1
447,13229,972,1,0,1
448,11425,973,1,0,1
448,6954,974,1,0,1
448,7482,975,1,0,1
449,22937,976,0,1,1
449,25542,977,0,1,1
450,2866,978,1,0,1
450,14871,979,1,0,1
450,11179,980,1,0,1
450,13100,981,1,0,1
451,905,982,1,0,1
451,3265,983,1,0,1
451,14467,984,1,0,1
452,24823,985,0,1,1
453,927,986,1,0,1
453,3587,987,0,1,1
454,23492,988,0,1,1
455,20041,989,0,1,1
455,8981,990,0,1,1
455,9128,991,1,0,1
456,17494,992,1,0,1
457,4843,993,1,0,1
457,14228,994,1,0,1
457,5481,995,1,0,1
458,24521,996,1,0,1
458,7662,997,1,0,1
458,8449,998,1,0,1
459,12161,999,0,1,1
460,19106,1000,1,0,1
460,2859,1001,0,1,1
460,6173,1002,1,0,1
460,9990,1003,1,0,1
461,10834,1004,1,0,1
461,9468,1005,1,0,1
462,18097,1006,1,0,1
462,24943,1007,1,0,1
462,11146,1008,1,0,1
462,402,1009,0,1,1
462,26771,1010,1,0,1
463,4266,1011,1,0,1
463,427,1012,0,1,1
463,14000,1013,1,0,1
463,18350,1014,1,0,1
463,12210,1015,1,0,1
464,18552,1016,1,0,1
465,11100,1017,1,0,1
465,15048,1018,1,0,1
466,11641,1019,0,1,1
466,1763,1020,0,1,1
467,15334,1021,1,0,1
467,7640,1022,1,0,1
467,14920,1023,1,0,1
